username, created_at, lng, lat, text
nicoleprincl, Thu Jan 28 22:01:18 +0000 2021, 14.465875, 50.059580, @lucasbejcek @annasulcova @jakubgulab Ještě můžem jít trochu dál a zamyslet se nad tím, jestli je něco takovýho vůb… https://t.co/ECEXvVSsOe 
gabrieIIaplata, Thu Jan 28 22:01:43 +0000 2021, -117.968540, 33.769045, Check out mack's video! #TikTok https://t.co/vs2e49wjNJCan we just appreciate my man and that he has a tiktok dance?! Lol! Bless. 
bchanelle_, Thu Jan 28 22:02:01 +0000 2021, -90.011008, 29.982601, Bro 😂😂😂😂 
abigailrbabe, Thu Jan 28 22:02:23 +0000 2021, -116.902582, 34.243251, . 
Lumosronica, Thu Jan 28 22:02:44 +0000 2021, -158.037475, 21.472732, https://t.co/bm2pzFr74M Hi @dameliofamily 
STR8FROMZO, Thu Jan 28 22:03:15 +0000 2021, -0.297430, 51.514752, I knew this bruddah was Congolese on sight 
JacintoLagunas1, Thu Jan 28 22:03:46 +0000 2021, -98.888710, 19.396729, #NiUnaMas https://t.co/KPaSQapAVZ 
princessliez828, Thu Jan 28 22:03:48 +0000 2021, 121.037000, 14.643900, God will provide the best man for you 🙏#ctto #tiktok #tiktokphilippines #nololopeztv #mentalhealthmovement… https://t.co/JHcwSO0W6D 
Oglakkizioffic1, Thu Jan 28 22:04:15 +0000 2021, 27.006511, 38.407930, Bu video henüz kar göremeyen canım takipçilerime gelsin.💙☃️  #izmirkar#izmir #manisa #spil #dağ #bornova #bayraklı… https://t.co/bMtfzuMcGu 
kurusu626, Thu Jan 28 22:04:17 +0000 2021, 138.115865, 36.498275, https://t.co/dFztyHBRoi 
merryguerrera, Thu Jan 28 22:04:22 +0000 2021, -83.139281, 40.125273, This thread is not only ethical, but it’s helpful and highly entertaining. 😎 Thanks, @mbmavrovic and @DePauwPrindle… https://t.co/rhH6MpyZBJ 
Yaasmiim_vieira, Thu Jan 28 22:05:17 +0000 2021, -43.446886, -22.802577, Eu só sei ficar no tiktok vendo vídeo kkk 
CHARNELLE2, Thu Jan 28 22:05:32 +0000 2021, -75.117998, 40.004866, https://t.co/i7iOmHsper 
ConnieJoe5, Thu Jan 28 22:10:10 +0000 2021, -81.711922, 38.819036, https://t.co/PUtsTBAEv0 
JanaTwix, Thu Jan 28 22:10:37 +0000 2021, -114.087851, 51.027664, making brunch plans (for when it’s allowed) with girls in my tiktok comments ❤️ love it 🥰 
Chimaera000, Thu Jan 28 22:10:54 +0000 2021, -120.583402, 44.145437, SCIENSE @Paleowin @premeesaurus https://t.co/o8bxhcG5f7 
fatiarea, Thu Jan 28 22:11:04 +0000 2021, 6.009684, 49.627415, Donc je me balade sur tiktok, et je vois que bcp de gens personnalisent leurs libre !!!! Pendant que moi , ignorant… https://t.co/sMsKanrhaO 
tchoulkristhon1, Thu Jan 28 22:11:34 +0000 2021, 145.053135, -37.972566, Check out Xenia Tchoumi's video! #TikTok https://t.co/qJl9n7ueaK Don’t worry Xenia youwve answered allove my prayer… https://t.co/k8tJtJVVwe 
paulargooder, Thu Jan 28 22:11:51 +0000 2021, -0.092911, 51.514480, The essence of lockdown #3 
Douggottii, Thu Jan 28 22:12:04 +0000 2021, -79.272570, 43.629311, Women having fun on TikTok &gt; 
ConnieJoe5, Thu Jan 28 22:12:21 +0000 2021, -81.711922, 38.819036, https://t.co/l3T3wq7WTI 
iBluntilda, Thu Jan 28 22:12:55 +0000 2021, -87.732013, 41.833585, Check out Derek's video! #TikTok https://t.co/q6SMsh42NO 
alannabarraza, Thu Jan 28 22:13:04 +0000 2021, -101.897173, 33.570526, Me every time I post a TikTok 
gulsahmadenli0, Thu Jan 28 22:14:03 +0000 2021, 35.284880, 37.002826, @alperenkcmn_ Neyse ki old takipçilerim tiktok videolarımi biliyor ssfjkkk 
radicalnaps, Thu Jan 28 22:14:44 +0000 2021, -88.223062, 41.623959, vegan nuggets: 😘 
MeMaquiandoAtoa, Thu Jan 28 22:14:50 +0000 2021, -64.949692, -3.783865, Você foi marcado no TikTok NOVOS USUÁRIOS: Assista ao vídeo e ganhe dinheiro! #TikTok #TikTokviral #tiktokdance https://t.co/ypIoK0iRmD 
RarriRorri, Thu Jan 28 22:17:41 +0000 2021, -77.493170, 37.529883, @muwoments You areeeerrr everytime it’s Tiktok this tiktok that..... 😭❤️ 
docTrypticon, Thu Jan 28 22:17:48 +0000 2021, -94.559281, 39.100048, https://t.co/zkZ13uWDKv 
MeMaquiandoAtoa, Thu Jan 28 22:18:04 +0000 2021, -59.980325, -2.572425, Você foi marcado no TikTok NOVOS USUÁRIOS: Assista ao vídeo e ganhe dinheiro! Meu código: J2352291 #TikTok… https://t.co/IQPT0r9Lxw 
_aj1996_, Thu Jan 28 22:18:09 +0000 2021, -111.928142, 33.392884, Oscar. Emmy. Teen choice award. Nigga out did himself 😂 
ssourgrapess, Thu Jan 28 22:18:14 +0000 2021, -73.968542, 40.780709, this is my absolute favorite sound on tiktok rn https://t.co/KBeRM8sxDX 
amandinemsnt, Thu Jan 28 22:18:18 +0000 2021, 5.152173, 45.738624, ptdr je suis vraiment nulle pour faire des tiktok mais vas y lui ça m’a fait rire 
SyrineNecib, Thu Jan 28 22:18:22 +0000 2021, 4.241772, 50.953674, @wizoldik Faut lui donner la force 😭😭 c’est quoi son tiktok ? 
moniqueruizz, Thu Jan 28 22:18:39 +0000 2021, -112.124676, 33.552863, I cannot believe she is still missing :( 
